title,ingredients,meal_type
aşure,"White Peeled Wheat, white beans, water, chickpeas, rice, sugar, dried apricots, raisins, dried figs",dessert
tarhana soup,"tarhana powder, tomato paste, butter, garlic, water, salt, dried mint, red pepper flakes",soup
arabaşı soup,"chicken, water, butter, tomato paste, red pepper flakes, salt, flour",soup
albanian-style fried liver,"veal liver, flour, sunflower oil, onion, sumac, parsley",main
vezir’s finger,"flour, semolina, yogurt, olive oil, egg, baking powder, vanilla, salt, water, sugar, lemon juice",dessert
quince dessert,"quinces, sugar, cinnamon stick, cloves, Clotted cream",dessert
baklava,"sugar, water, lemon juice, phyllo dough, walnuts, butter, ground cinnamon",dessert
stuffed vine leaves with olive oil,"vine leaves, rice, onions, olive oil, currants, sugar, dried mint, black pepper, salt, lemon juice, water",side
purslane salad,"yogurt, garlic, olive oil, purslane, salt",salad
spinach borek,"yufka, spinach, onions, cheese, eggs, olive oil, salt",breakfast
şekerpare,"butter, olive oil, powdered sugar, egg, semolina, vanilla, baking powder, flour",dessert
şöbiyet,"flour, egg, olive oil, yogurt, vinegar, salt, water, milk, semolina, sugar, pistachios, butter",dessert
tablacı salad,"tomatoes, green peppers, onion, parsley, pomegranate molasses, olive oil, sumac, lemon juice, salt, salt",salad
turkish chicken vermicelli soup,"chicken breast, chicken broth, butter, egg yolk, lemon juice, salt, black pepper",soup
sumac onion salad,"onions, sumac, olive oil, salt, lemon juice, parsley",salad
turkish water borek,"egg, flour, salt, water, parsley, butter",breakfast
turkish lentil patties,"red lentils, water, fine bulgur, onion, olive oil, tomato paste, pepper paste, cumin, paprika, green onions, parsley, lemon juice, salt",side
tray-baked borek with soda,"thin pastry, milk, olive oil, soda water, egg, cheese, parsley",breakfast
onion kebab,"onions, ground meat, garlic, red pepper flakes, black pepper, salt, pomegranate molasses, olive oil, water",main
sussuz kebab,"lamb, green peppers, tomatoes, garlic, onion, salt, black pepper",main
sütlaç,"milk, rice, water, starch, milk, sugar",dessert
purslane with yogurt,"garlic, purslane, yogurt, olive oil",side
tandır kebab,"lamb, butter, olive oil, salt, black pepper, thyme, water",main
tas kebab,"cubed meat, olive oil, butter, onion, tomato paste, garlic, carrot, potato, salt, black pepper, chili flakes, water",main
turkish milk pudding with shredded chicken breast,"chicken breast, milk, sugar, starch, flour, butter, vanilla",dessert
çökertme kebab with chicken,"chicken breast, olive oil, butter, paprika, thyme, garlic, potatoes, yogurt",main
chicken broth soup,"chicken breast, chicken broth, rice, butter, flour, egg yolk, lemon juice, salt",soup
lentil soup,"olive oil, red lentils, pepper paste, water, tomato paste, fine bulgur, cucumber, onion, chili flakes",soup
sultan kebab with chicken,"chicken breast, onion, carrot, green pepper, red pepper, green peas, olive oil, thin pastry, butter, flour, milk, salt",main
testi kebab,"diced beef, onion, garlic, tomato, green pepper, red pepper, tomato paste, pepper paste, olive oil, black pepper, thyme, salt, water",main
pasta salad with yogurt,"garlic, pasta, yogurt, mayonnaise, cucumber, carrot, green onions, salt, olive oil",salad
tutmaç soup,"yogurt, egg, flour, water, homemade noodles, butter, dried mint, garlic, salt, black pepper",soup
borek with green lentils,"onions, thin pastry, green lentils, olive oil, salt, chili flakes, black pepper",breakfast
easy water borek,"thin pastry, egg, milk, yogurt, cheese, parsley, olive oil, salt",breakfast
turkish flour halva,"flour, sugar, water, butter, walnuts",dessert
green lentil soup,"carrot, onion, green lentils, tomato paste, sunflower oil, flour, water, cumin, salt, black pepper, red pepper flakes, dried mint",soup
toyga soup,"chickpeas, wheat, egg, yogurt, flour, butter, water, dried mint, salt, black pepper, dill",soup
yogurt soup,"yogurt, rice, egg yolk, water, flour, dried mint, butter",soup
artichoke hearts with olive oil,"potatoes, artichoke, carrot, green peas, onion, olive oil, sugar, lemon juice, salt, water",side
zerde,"rice, water, sugar, saffron, rose water, pistachios, currants, starch, red pepper flakes",dessert
zahter salad,"zahter, green onions, tomato, sumac, olive oil, pomegranate molasses, red pepper flakes, salt",salad
sarıyer borek,"onion, ground beef, olive oil, salt, black pepper, ground cinnamon, thin pastry, butter, egg yolk",breakfast
vegetable soup,"potatoes, carrot, zucchinis, onion, garlic, olive oil, flour, water, salt",soup
leek soup,"leeks, carrot, potato, olive oil, water, salt",soup
eggplant salad,"garlic, olive oil, lemon juice, eggplants, red bell pepper, garlic, olive oil, lemon juice, salt",salad
tray kebab with mashed potatoes,"ground beef, onion, garlic, tomato paste, black pepper, cumin, salt, olive oil, potatoes, butter, milk",main
ramazan kebab,"ground red pepper, onion, garlic, cumin, black pepper, salt, chili flakes, eggplants, potatoes, tomato, green peppers, tomato paste, water, olive oil, bread",main
mücver,"zucchinis, egg, flour, green onions, dill, parsley, salt, black cabbage, sunflower oil",side
nevzine,"butter, sunflower oil, milk, tahini, vinegar, baking powder, flour, walnuts, sugar, molasses",dessert
paçanga borek,"phyllo dough, pastrami, cheese, red pepper, sunflower oil, green pepper",breakfast
potato borek,"potatoes, onion, olive oil, salt, egg, black pepper, red pepper flakes, thin pastry, milk",breakfast
mushroom soup,"mushroom, water, butter, salt, olive oil, flour, milk",soup
mahluta soup,"rice, cumin, onion, olive oil, tomato paste, butter, dried broad beans, water, red lentils, chili flakes, salt",soup
paça soup,"lamb, water, garlic, vinegar, egg yolk, lemon juice, broth, butter, paprika",soup
midye dolma,"onions, allspice, lemon, olive oil, salt, pine nuts, black pepper, mussels, currants, water, rice, ground cinnamon, parsley",side
muhammara,"red bell pepper, walnuts, breadcrumbs, garlic, pomegranate molasses, olive oil, red pepper paste, cucumber, chili flakes, salt",side
manca,"garlic, olive oil, eggplants, vinegar, red bell pepper, salt, tomatoes",side
çarşaf böreği (traditional turkish rolled pastry),"flour, salt, sunflower oil, water, spinach, cheese, potatoes, onion, salt",breakfast
beyti kebab,"ground beef, onion, garlic, salt, breadcrumbs, parsley, flatbreads, butter, tomato sauce, yogurt",main
black cabbage  soup,"black cabbage, onion, garlic, patato, white beans, cornmeal, tomato paste, olive oil, water, salt",soup
fish soup,"onion, carrot, garlic, white fish fillets, patato, olive oil, water, lemon, parsley",soup
shish kebab,"onions, olive oil, yogurt, tomato paste, garlic, paprika, cumin, salt, black pepper",main
circassian chicken(çerkez tavuğu),"chicken breast, water, bay leaf, salt, walnuts, stale bread, garlic, black pepper, chicken broth",side
bostana salad,"tomatoes, cucumber, green pepper, onion, parsley, mint, lemon, olive oil, pomegranate molasses, salt, red pepper flakes",salad
tomato soup,"tomatoes, tomato paste, butter, flour, milk, sugar, paprika, cheese, salt, black pepper",soup
carrot tarator,"carrots, yogurt, mayonnaise, garlic, olive oil, walnuts, salt",side
red cabbage salad,"red cabbage, olive oil, salt, lemon, vinegar, parsley",salad
cigar borek,"thin pastry, cheese, parsley, sunflower oil",breakfast
broccoli soup,"broccoli, onion, patato, garlic, olive oil, salt, vegetable broth",soup
maras ice cream,"milk, granulated sugar, salep, mastic gum",dessert
carrot and zucchini salad,"carrots, zucchinis, yogurt, mayonnaise, olive oil, garlic, walnuts",salad
tripe soup,"beef tripe, water, onion, garlic, butter, flour, lemon, egg yolk, vinegar",soup
cheburek,"flour, water, salt, sunflower oil, lamb, onion, black pepper",side
sivas kebab,"lamb, salt, black pepper, tomatoes, green peppers",main
bugu kebab,"diced lamb, potatoes, onion, garlic, green peppers, tomatoes, tomato paste, salt, water, olive oil",main
çökertme kebab,"lamb, olive oil, yogurt, paprika, garlic, salt, potatoes, tomatoes, black pepper",main
düğün soup (turkish wedding soup),"lamb, onion, flour, butter, salt, black pepper, egg yolk, lemon juice",soup
haydari,"strained yogurt, labneh, garlic, dill, mint, olive oil, salt",side
zucchini soup,"zucchinis, onion, patato, olive oil, milk, salt, black pepper, vegetable broth, dried mint",soup
kemalpaşa dessert,"Kemalpaşa dessert balls, cheese, semolina, flour, egg, baking powder, sugar, water, coconut",dessert
bükme,"flour, water, sunflower oil, green lentils, salt, onion, black pepper",breakfast
çöp şiş kebab (turkish mini shish kebab),"small cubes of meat, onion, pepper, spices, lamb, olive oil, onion, garlic, paprika, cumin, black pepper, salt, tomato paste",main
ekmek kadayıfı,"ekmek kadayıfı bread, granulated sugar, water, lemon juice, kaymak",dessert
hünkar beğendi,"lamb, olive oil, onions, garlic, tomatoes, tomato paste, water, salt, eggplants, butter, flour, milk, cheese",main
pumpkin dessert,"pumpkin, granulated sugar, water, walnuts, tahini",dessert
kazandibi,"milk, granulated sugar, rice flour, cornstarch, butter, vanilla, powdered sugar",dessert
şakşuka,"eggplants, green peppers, red pepper, sunflower oil, garlic, tomatoes, tomato paste, salt, black pepper",side
cacık,"olive oil, yogurt, cucumbers, garlic, olive oil, mint, salt",side
fava,"fava beans, onion, olive oil, sugar, salt, lemon juice, water, dill",side
kadayif,"kadayif pastry, walnuts, butter, granulated sugar, water, lemon juice",dessert
celery root salad,"celery root, yogurt, mayonnaise, garlic, walnuts, lemon juice, dill",salad
lady lips dessert,"eggs, flour, yogurt, sunflower oil, vinegar, baking powder, salt, sugar, water, walnuts, butter, lemon juice",dessert
talaş kebab,"diced beef, onion, carrot, green peas, olive oil, butter, salt, black pepper, thyme",main
cezerye (turkish carrot delight),"carrots, granulated sugar, walnuts, ground cloves, lemon juice, coconut",dessert
kalamar tava,"squid, flour, cornstarch, baking powder, sunflower oil, water, salt, black pepper",side
i̇slim kebab,"ground beef, onion, garlic, egg, parsley, salt, black pepper, eggplants, olive oil, tomatoes, green peppers, tomato paste, water",main
kelle paça soup,"lamb head, water, onion, garlic, salt, black peppercorns, egg yolk, flour, lemon juice",soup
kısır,"fine bulgur, water, tomato paste, olive oil, lemon, tomatoes, cucumber, green onions, red onion, parsley, mint, black pepper, salt, lettuce, red pepper flakes",side
chicken adana kebab,"ground chicken, onion, garlic, red pepper paste, red bell pepper, cumin, salt, parsley, black pepper",main
güllaç,"güllaç pastry, milk, granulated sugar, rose water, walnuts, pomegranate, pistachios",dessert
kalburabastı,"flour, butter, sunflower oil, yogurt, egg, semolina, baking powder, salt, walnuts, granulated sugar, water, lemon juice",dessert
keşkül,"milk, granulated sugar, rice flour, ground almonds, water, vanilla, egg yolk",dessert
roasted red pepper salad,"red bell pepper, garlic, olive oil, parsley, walnuts, lemon juice, salt, black pepper",salad
pan-fried borek,"thin pastry, milk, olive oil, egg, cheese, salt, butter",breakfast
spicy turkish ezme,"tomatoes, onion, parsley, garlic, hot green chili pepper, tomato paste, pepper paste, olive oil, sumac, salt, dried mint, isot pepper, pomegranate molasses, red pepper flakes",side
triangle börek with ground beef,"yufka, ground beef, onion, parsley, olive oil, paprika, yogurt, egg, salt, sesame",breakfast
hanım göbeği,"flour, semolina, yogurt, eggs, butter, baking powder, vanilla, salt, sugar, water, lemon juice, sunflower oil",dessert
cream of mushroom soup,"mushrooms, onion, garlic, butter, chicken broth, milk, salt, parsley, black pepper",soup
lokma,"flour, water, instant yeast, sugar, sunflower oil, water, lemon juice, salt",dessert
pişmaniye,"flour, butter, sugar, water, lemon juice",dessert
kol börek,"yufka, cheese, spinach, potatoes, milk, olive oil, eggs, sesame",breakfast
vegetable vermicelli soup,"carrot, potatoes, zucchini, tomatoes, orzo pasta, olive oil, butter, water, vermicelli",soup
künefe,"kadayif, cheese, butter, sugar, lemon juice, pistachios",dessert
tepsi kebab,"ground beef, onion, garlic, green pepper, red pepper, cumin, black pepper, red pepper flakes, salt, pepper paste, water",main
rose-shaped borek with potatoes,"potatoes, sunflower oil, salt, black pepper, red pepper flakes, thin pastry, milk, sesame",breakfast
patlıcan kebab,"eggplants, ground beef, onion, garlic, salt, chili flakes, black pepper, olive oil, tomatoes, green peppers, tomato paste, water",main
vegetable antep kebab,"eggplants, zucchinis, tomatoes, green peppers, onion, garlic, olive oil, cumin, paprika, oregano, parsley, salt",main
baked eggplant kebab,"eggplants, ground beef, onion, garlic, parsley, salt, black pepper, paprika, tomatoes, green peppers, olive oil, tomato paste, water",main
