title,ingredients,meal_type
Analı Kızlı,"ground beef, onion, egg, rice, flour, tomato paste, butter, water, cooked chickpeas",main
Aşure,"White Peeled Wheat, white beans, water, chickpeas, rice, sugar, dried apricots, raisins, dried figs",dessert
Tarhana Soup,"tarhana powder, tomato paste, butter, garlic, water, salt, dried mint, red pepper flakes",soup
Arabaşı Soup,"chicken, water, butter, tomato paste, red pepper flakes, salt, flour",soup
Albanian-Style Fried Liver,"veal liver, flour, sunflower oil, onion, sumac, parsley",main
Vezir’s Finger,"flour, semolina, yogurt, olive oil, egg, baking powder, vanilla, salt, water, sugar, lemon juice",dessert
Quince Dessert,"quinces, sugar, cinnamon stick, cloves, Clotted cream",dessert
Baklava,"sugar, water, lemon juice, phyllo dough, walnuts, butter, ground cinnamon",dessert
Stuffed Vine Leaves with Olive Oil,"vine leaves, rice, onions, olive oil, currants, sugar, dried mint, black pepper, salt, lemon juice, water",side
Purslane Salad,"yogurt, garlic, olive oil, purslane, salt",salad
Spinach Borek,"yufka, spinach, onions, cheese, eggs, olive oil, salt",breakfast
Şekerpare,"butter, olive oil, powdered sugar, egg, semolina, vanilla, baking powder, flour",dessert
Şöbiyet,"flour, egg, olive oil, yogurt, vinegar, salt, water, milk, semolina, sugar, pistachios, butter",dessert
Tablacı Salad,"tomatoes, green peppers, onion, parsley, pomegranate molasses, olive oil, sumac, lemon juice, salt, salt",salad
Turkish Chicken Vermicelli Soup,"chicken breast, chicken broth, butter, egg yolk, lemon juice, salt, black pepper",soup
Sumac Onion Salad,"onions, sumac, olive oil, salt, lemon juice, parsley",salad
Turkish Water Borek,"egg, flour, salt, water, parsley, butter",breakfast
Turkish Lentil Patties,"red lentils, water, fine bulgur, onion, olive oil, tomato paste, pepper paste, cumin, paprika, green onions, parsley, lemon juice, salt",side
Tray-Baked Borek with Soda,"thin pastry, milk, olive oil, soda water, egg, cheese, parsley",breakfast
Onion Kebab,"onions, ground meat, garlic, red pepper flakes, black pepper, salt, pomegranate molasses, olive oil, water",main
Sussuz Kebab,"lamb, green peppers, tomatoes, garlic, onion, salt, black pepper",main
Sütlaç,"milk, rice, water, starch, milk, sugar",dessert
Purslane with Yogurt,"garlic, purslane, yogurt, olive oil",side
Tandır Kebab,"lamb, butter, olive oil, salt, black pepper, thyme, water",main
Tas Kebab,"cubed meat, olive oil, butter, onion, tomato paste, garlic, carrot, potato, salt, black pepper, chili flakes, water",main
Turkish Milk Pudding with Shredded Chicken Breast,"chicken breast, milk, sugar, starch, flour, butter, vanilla",dessert
Çökertme Kebab with Chicken,"chicken breast, olive oil, butter, paprika, thyme, garlic, potatoes, yogurt",main
Chicken Broth Soup,"chicken breast, chicken broth, rice, butter, flour, egg yolk, lemon juice, salt",soup
Lentil Soup,"olive oil, red lentils, pepper paste, water, tomato paste, fine bulgur, cucumber, onion, chili flakes",soup
Sultan Kebab with Chicken,"chicken breast, onion, carrot, green pepper, red pepper, green peas, olive oil, thin pastry, butter, flour, milk, salt",main
Testi Kebab,"diced beef, onion, garlic, tomato, green pepper, red pepper, tomato paste, pepper paste, olive oil, black pepper, thyme, salt, water",main
Pasta Salad with Yogurt,"garlic, pasta, yogurt, mayonnaise, cucumber, carrot, green onions, salt, olive oil",salad
Tutmaç Soup,"yogurt, egg, flour, water, homemade noodles, butter, dried mint, garlic, salt, black pepper",soup
Borek with Green Lentils,"onions, thin pastry, green lentils, olive oil, salt, chili flakes, black pepper",breakfast
Easy Water Borek,"thin pastry, egg, milk, yogurt, cheese, parsley, olive oil, salt",breakfast
Turkish Flour Halva,"flour, sugar, water, butter, walnuts",dessert
Green Lentil Soup,"carrot, onion, green lentils, tomato paste, sunflower oil, flour, water, cumin, salt, black pepper, red pepper flakes, dried mint",soup
Toyga Soup,"chickpeas, wheat, egg, yogurt, flour, butter, water, dried mint, salt, black pepper, dill",soup
Yogurt Soup,"yogurt, rice, egg yolk, water, flour, dried mint, butter",soup
Artichoke Hearts with Olive Oil,"potatoes, artichoke, carrot, green peas, onion, olive oil, sugar, lemon juice, salt, water",side
Zerde,"rice, water, sugar, saffron, rose water, pistachios, currants, starch, red pepper flakes",dessert
Zahter Salad,"zahter, green onions, tomato, sumac, olive oil, pomegranate molasses, red pepper flakes, salt",salad
Sarıyer Borek,"onion, ground beef, olive oil, salt, black pepper, ground cinnamon, thin pastry, butter, egg yolk",breakfast
Vegetable Soup,"potatoes, carrot, zucchinis, onion, garlic, olive oil, flour, water, salt",soup
Leek Soup,"leeks, carrot, potato, olive oil, water, salt",soup
Eggplant Salad,"garlic, olive oil, lemon juice, eggplants, red bell pepper, garlic, olive oil, lemon juice, salt",salad
Tray Kebab with Mashed Potatoes,"ground beef, onion, garlic, tomato paste, black pepper, cumin, salt, olive oil, potatoes, butter, milk",main
Ramazan Kebab,"ground red pepper, onion, garlic, cumin, black pepper, salt, chili flakes, eggplants, potatoes, tomato, green peppers, tomato paste, water, olive oil, bread",main
Mücver,"zucchinis, egg, flour, green onions, dill, parsley, salt, black cabbage, sunflower oil",side
Nevzine,"butter, sunflower oil, milk, tahini, vinegar, baking powder, flour, walnuts, sugar, molasses",dessert
Paçanga Borek,"phyllo dough, pastrami, cheese, red pepper, sunflower oil, green pepper",breakfast
Potato Borek,"potatoes, onion, olive oil, salt, egg, black pepper, red pepper flakes, thin pastry, milk",breakfast
Mushroom Soup,"mushroom, water, butter, salt, olive oil, flour, milk",soup
Mahluta Soup,"rice, cumin, onion, olive oil, tomato paste, butter, dried broad beans, water, red lentils, chili flakes, salt",soup
Paça Soup,"lamb, water, garlic, vinegar, egg yolk, lemon juice, broth, butter, paprika",soup
Midye Dolma,"onions, allspice, lemon, olive oil, salt, pine nuts, black pepper, mussels, currants, water, rice, ground cinnamon, parsley",side
Muhammara,"red bell pepper, walnuts, breadcrumbs, garlic, pomegranate molasses, olive oil, red pepper paste, cucumber, chili flakes, salt",side
Manca,"garlic, olive oil, eggplants, vinegar, red bell pepper, salt, tomatoes",side
Çarşaf Böreği (Traditional Turkish Rolled Pastry),"flour, salt, sunflower oil, water, spinach, cheese, potatoes, onion, salt",breakfast
Beyti Kebab,"ground beef, onion, garlic, salt, breadcrumbs, parsley, flatbreads, butter, tomato sauce, yogurt",main
Black Cabbage  Soup,"black cabbage, onion, garlic, patato, white beans, cornmeal, tomato paste, olive oil, water, salt",soup
Fish Soup,"onion, carrot, garlic, white fish fillets, patato, olive oil, water, lemon, parsley",soup
Shish Kebab,"onions, olive oil, yogurt, tomato paste, garlic, paprika, cumin, salt, black pepper",main
Circassian Chicken(Çerkez Tavuğu),"chicken breast, water, bay leaf, salt, walnuts, stale bread, garlic, black pepper, chicken broth",side
Bostana Salad,"tomatoes, cucumber, green pepper, onion, parsley, mint, lemon, olive oil, pomegranate molasses, salt, red pepper flakes",salad
Tomato Soup,"tomatoes, tomato paste, butter, flour, milk, sugar, paprika, cheese, salt, black pepper",soup
Carrot Tarator,"carrots, yogurt, mayonnaise, garlic, olive oil, walnuts, salt",side
Red Cabbage Salad,"red cabbage, olive oil, salt, lemon, vinegar, parsley",salad
Cigar Borek,"thin pastry, cheese, parsley, sunflower oil",breakfast
Broccoli Soup,"broccoli, onion, patato, garlic, olive oil, salt, vegetable broth",soup
Maras Ice Cream,"milk, granulated sugar, salep, mastic gum",dessert
Carrot and Zucchini Salad,"carrots, zucchinis, yogurt, mayonnaise, olive oil, garlic, walnuts",salad
Tripe Soup,"beef tripe, water, onion, garlic, butter, flour, lemon, egg yolk, vinegar",soup
Cheburek,"flour, water, salt, sunflower oil, lamb, onion, black pepper",side
Sivas Kebab,"lamb, salt, black pepper, tomatoes, green peppers",main
Bugu Kebab,"diced lamb, potatoes, onion, garlic, green peppers, tomatoes, tomato paste, salt, water, olive oil",main
Çökertme Kebab,"lamb, olive oil, yogurt, paprika, garlic, salt, potatoes, tomatoes, black pepper",main
Düğün Soup (Turkish Wedding Soup),"lamb, onion, flour, butter, salt, black pepper, egg yolk, lemon juice",soup
Haydari,"strained yogurt, labneh, garlic, dill, mint, olive oil, salt",side
Zucchini Soup,"zucchinis, onion, patato, olive oil, milk, salt, black pepper, vegetable broth, dried mint",soup
Kemalpaşa Dessert,"Kemalpaşa dessert balls, cheese, semolina, flour, egg, baking powder, sugar, water, coconut",dessert
Bükme,"flour, water, sunflower oil, green lentils, salt, onion, black pepper",breakfast
Çöp Şiş Kebab (Turkish Mini Shish Kebab),"small cubes of meat, onion, pepper, spices, lamb, olive oil, onion, garlic, paprika, cumin, black pepper, salt, tomato paste",main
Ekmek Kadayıfı,"ekmek kadayıfı bread, granulated sugar, water, lemon juice, kaymak",dessert
Hünkar Beğendi,"lamb, olive oil, onions, garlic, tomatoes, tomato paste, water, salt, eggplants, butter, flour, milk, cheese",main
Pumpkin Dessert,"pumpkin, granulated sugar, water, walnuts, tahini",dessert
Kazandibi,"milk, granulated sugar, rice flour, cornstarch, butter, vanilla, powdered sugar",dessert
Şakşuka,"eggplants, green peppers, red pepper, sunflower oil, garlic, tomatoes, tomato paste, salt, black pepper",side
Cacık,"olive oil, yogurt, cucumbers, garlic, olive oil, mint, salt",side
Fava,"fava beans, onion, olive oil, sugar, salt, lemon juice, water, dill",side
Kadayif,"kadayif pastry, walnuts, butter, granulated sugar, water, lemon juice",dessert
Celery Root Salad,"celery root, yogurt, mayonnaise, garlic, walnuts, lemon juice, dill",salad
Lady Lips Dessert,"eggs, flour, yogurt, sunflower oil, vinegar, baking powder, salt, sugar, water, walnuts, butter, lemon juice",dessert
Talaş Kebab,"diced beef, onion, carrot, green peas, olive oil, butter, salt, black pepper, thyme",main
Cezerye (Turkish Carrot Delight),"carrots, granulated sugar, walnuts, ground cloves, lemon juice, coconut",dessert
Kalamar Tava,"squid, flour, cornstarch, baking powder, sunflower oil, water, salt, black pepper",side
İslim Kebab,"ground beef, onion, garlic, egg, parsley, salt, black pepper, eggplants, olive oil, tomatoes, green peppers, tomato paste, water",main
Kelle Paça Soup,"lamb head, water, onion, garlic, salt, black peppercorns, egg yolk, flour, lemon juice",soup
Kısır,"fine bulgur, water, tomato paste, olive oil, lemon, tomatoes, cucumber, green onions, red onion, parsley, mint, black pepper, salt, lettuce, red pepper flakes",side
Chicken Adana Kebab,"ground chicken, onion, garlic, red pepper paste, red bell pepper, cumin, salt, parsley, black pepper",main
Güllaç,"güllaç pastry, milk, granulated sugar, rose water, walnuts, pomegranate, pistachios",dessert
Kalburabastı,"flour, butter, sunflower oil, yogurt, egg, semolina, baking powder, salt, walnuts, granulated sugar, water, lemon juice",dessert
Keşkül,"milk, granulated sugar, rice flour, ground almonds, water, vanilla, egg yolk",dessert
Roasted Red Pepper Salad,"red bell pepper, garlic, olive oil, parsley, walnuts, lemon juice, salt, black pepper",salad
Pan-Fried Borek,"thin pastry, milk, olive oil, egg, cheese, salt, butter",breakfast
Spicy Turkish Ezme,"tomatoes, onion, parsley, garlic, hot green chili pepper, tomato paste, pepper paste, olive oil, sumac, salt, dried mint, isot pepper, pomegranate molasses, red pepper flakes",side
Triangle Börek with Ground Beef,"yufka, ground beef, onion, parsley, olive oil, paprika, yogurt, egg, salt, sesame",breakfast
Hanım Göbeği,"flour, semolina, yogurt, eggs, butter, baking powder, vanilla, salt, sugar, water, lemon juice, sunflower oil",dessert
Cream of Mushroom Soup,"mushrooms, onion, garlic, butter, chicken broth, milk, salt, parsley, black pepper",soup
Lokma,"flour, water, instant yeast, sugar, sunflower oil, water, lemon juice, salt",dessert
Pişmaniye,"flour, butter, sugar, water, lemon juice",dessert
Kol Börek,"yufka, cheese, spinach, potatoes, milk, olive oil, eggs, sesame",breakfast
Vegetable Vermicelli Soup,"carrot, potatoes, zucchini, tomatoes, orzo pasta, olive oil, butter, water, vermicelli",soup
Künefe,"kadayif, cheese, butter, sugar, lemon juice, pistachios",dessert
Tepsi Kebab,"ground beef, onion, garlic, green pepper, red pepper, cumin, black pepper, red pepper flakes, salt, pepper paste, water",main
Rose-Shaped Borek with Potatoes,"potatoes, sunflower oil, salt, black pepper, red pepper flakes, thin pastry, milk, sesame",breakfast
Patlıcan Kebab,"eggplants, ground beef, onion, garlic, salt, chili flakes, black pepper, olive oil, tomatoes, green peppers, tomato paste, water",main
Vegetable Antep Kebab,"eggplants, zucchinis, tomatoes, green peppers, onion, garlic, olive oil, cumin, paprika, oregano, parsley, salt",main
Baked eggplant kebab,"eggplants, ground beef, onion, garlic, parsley, salt, black pepper, paprika, tomatoes, green peppers, olive oil, tomato paste, water",main
